,xgb,ann,rfc
0,0.7861114199933281,0.8087401312131658,0.7916157011008562
1,0.760479375696767,0.7366778149386846,0.724860646599777
2,0.8915368518949082,0.9125784701232271,0.8950244129272262
3,0.8506161357823763,0.8777028598000465,0.8573587537781912
4,0.8742152987677285,0.8634038595675424,0.8866542664496628
5,0.8123692164612881,0.7999302487793536,0.8092304115322019
6,0.7696465938153917,0.8295745175540572,0.8352708672401767
7,0.7568007440130202,0.7314578005115089,0.7348291095094165
8,0.872762148337596,0.8614275749825622,0.851546152057661
9,0.8199255986979772,0.8904905835852126,0.8818879330388282
